dialog_act,utterance,prediction
affirm,yes,affirm
thankyou,thank you,thankyou
no dialog,noise,no dialog
request,noise what is the phone number,request
thankyou,thank you goodbye,thankyou
inform,cheap restaurant,inform
affirm,yes,affirm
thankyou,thank you good bye,thankyou
inform,im looking for thai,inform
no dialog,noise,no dialog
request,phone number,request
inform,i need a restaurant in the center of town that serves spanish food,inform
request,what part of town is it in,request
thankyou,thank you good bye,thankyou
inform,any,inform
request,phone number,request
inform,asian oriental,inform
inform,cheap,inform
request,phone number,request
thankyou,thank you good bye,thankyou
inform,scandinavian food,inform
request,address phone number,request
thankyou,thank you good bye,thankyou
inform,in the moderately price,inform
reqalts,how about indian food,reqalts
inform,indian,inform
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant that serves afghan food,inform
inform,doesnt matter,inform
inform,it doesnt matter,inform
inform,expensive,inform
inform,restaurant in the west part of town that serves cuban food,inform
affirm,yes,affirm
no dialog,sil,no dialog
no dialog,sil,no dialog
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
affirm,ye,affirm
request,alright can i have the address,request
inform,scandinavian,inform
request,phone number,request
request,phone number,request
no dialog,noise,no dialog
thankyou,thank you goodbye,thankyou
reqalts,is there a restaurant serving british food,reqalts
affirm,right,affirm
affirm,right,affirm
bye,you good bye,bye
affirm,right,affirm
inform,west,inform
no dialog,sil,no dialog
request,can i get the phone number,request
affirm,yes,affirm
no dialog,noise,no dialog
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
thankyou,okay cool uh good bye thank you,bye
inform,north,inform
inform,north,inform
inform,north,inform
reqalts,is there anything else,reqalts
request,phone number,request
request,phone number,request
request,type of food do they serve,request
request,whats the price range,request
inform,any,inform
inform,anything,inform
request,phone number,request
inform,um italian,inform
affirm,yes,affirm
no dialog,unintelligible,no dialog
reqalts,is there anything else in the medium price range,reqalts
inform,is there anything in the cheap price range,confirm
reqmore,more,reqmore
inform,i dont care,inform
inform,asian,inform
reqalts,is there anything else,reqalts
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant in the west part of town,inform
inform,i dont care,inform
reqalts,anything else,reqalts
thankyou,thank you good bye,thankyou
inform,im looking for a thai restaurant,inform
request,what type of food,request
request,what is the address and phone number,request
inform,moderately priced restaurant serving moroccan food,inform
no dialog,sil,no dialog
reqalts,how about indian type food,reqalts
no dialog,noise,no dialog
request,can i have the address and phone number,request
inform,noise west,inform
request,what is the address,request
inform,im looking for a restaurant in the north part of town that serves african food,inform
thankyou,thank you good bye,thankyou
request,what is the address,request
request,could i have the phone number please,request
request,breath whats the phone number of the venue,request
request,what is the address,request
request,the address,request
inform,i would like crossover food,inform
no dialog,unintelligible,no dialog
inform,modern european food,inform
inform,i would like modern european food,inform
request,price range,request
inform,cheap restaurant,inform
thankyou,thank you good bye,thankyou
inform,moderately priced,inform
inform,moderate,inform
request,post code,request
inform,moderately priced restaurant,inform
inform,west part of town,inform
reqalts,anything else,reqalts
affirm,right,affirm
thankyou,thank you good bye,thankyou
inform,russian food,inform
inform,i dont care,inform
inform,barbecue,inform
inform,barbecue,inform
affirm,yes,affirm
request,address,request
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
request,phone number,request
request,what is the address and phone number,request
no dialog,and,no dialog
reqalts,what about a restaurant that serves chinese food,inform
no dialog,and the,request
inform,cheap restaurant in the east of town,inform
thankyou,thank you good bye,thankyou
inform,polish food,inform
inform,north american food,inform
inform,it doesnt matter,inform
inform,catalan,inform
request,phone number,request
reqalts,how about portuguese food,reqalts
inform,expensive restaurant east part of town,inform
thankyou,thank you good bye,thankyou
inform,i need a moderately priced restaurant in the west part of town,inform
inform,thai,inform
inform,thai food,inform
reqalts,how about thai food,reqalts
affirm,uh yes im looking for a cheap restaurant in the west part of town,affirm
inform,uh it doesnt matter,inform
request,okay and uh whats their phone number please,request
bye,okay and um thank you and good bye,thankyou
inform,id like an expensive restaurant,inform
negate,no,negate
inform,looking for an expensive restaurant that serves afghan food,inform
inform,moderately priced restaurant,inform
no dialog,sil,no dialog
inform,it doesnt matter,inform
request,whats the phone number,request
inform,doesnt matter,inform
inform,restaurant in central,inform
thankyou,thank you goodbye,thankyou
inform,danish food,inform
inform,dont care,inform
inform,moderately,inform
no dialog,cough,no dialog
inform,center,inform
inform,afghan,inform
affirm,thats correct gastropub food,affirm
thankyou,thank you good bye,thankyou
inform,east part,inform
inform,um i dont know,inform
inform,i want a restaurant in the north part of town that serves vietnamese food,inform
reqalts,what about in the west area,reqalts
request,phone number,request
request,whats the address,request
no dialog,sil,no dialog
request,where,no dialog
restart,oh jesus christ start over,restart
inform,moderate price,inform
inform,spanish food,inform
negate,no spanish,negate
inform,i dont care moderate price,inform
confirm,is it moderate priced,confirm
request,can i have the address,request
inform,cheap,inform
request,address,request
request,post code,request
affirm,yes,affirm
request,whats the address,request
thankyou,thank you good bye,thankyou
no dialog,breathing,no dialog
no dialog,inaudible,no dialog
request,price range,request
request,price range,request
inform,indian,inform
no dialog,sil,no dialog
no dialog,adress,no dialog
request,address,request
inform,im looking for a restaurant in the east part that serves creative food,inform
thankyou,thank you good bye,thankyou
request,address,request
inform,center town,inform
affirm,yes,affirm
reqalts,how about european food,reqalts
inform,okay i dont care about price range,inform
thankyou,thank you good bye,thankyou
no dialog,noise,no dialog
inform,venetian,inform
affirm,yes,affirm
negate,no,negate
no dialog,sil,no dialog
no dialog,noise,no dialog
no dialog,unintelligible,no dialog
inform,okay then any,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
thankyou,thank you goodbye,thankyou
no dialog,sil,no dialog
thankyou,thank you,thankyou
inform,um i dont care i just want traditional food,inform
affirm,yes,affirm
reqalts,how about french,reqalts
inform,it doesnt matter,inform
request,may i have the address and area,request
request,i would like the address,request
inform,doesnt matter,inform
inform,any area,inform
no dialog,uh,no dialog
affirm,yes,affirm
inform,im looking for a restaurant serving british food then,inform
inform,east,inform
inform,east,inform
no dialog,dont,no dialog
inform,i want an expensive restaurant that serves sea food,inform
request,what is the area,request
inform,i need a restaurant in the west part of town,inform
repeat,repeat,repeat
inform,spanish,inform
request,phone number,request
reqalts,is there anything else,reqalts
thankyou,thank you good bye,thankyou
inform,any,inform
request,whats the address,request
no dialog,noise,no dialog
no dialog,noise,no dialog
inform,tv_noise im looking for a restaurant in the moderately pri,inform
request,may i have the address and phone number,request
inform,any type,inform
affirm,yes,affirm
inform,any kind of food,inform
thankyou,thank you good bye,thankyou
affirm,yea,affirm
inform,indian,inform
thankyou,thank you good bye,thankyou
request,address and post code,request
thankyou,thank you good bye,thankyou
request,phone number,request
thankyou,thank you good bye,thankyou
no dialog,sil,no dialog
thankyou,thank you good bye,thankyou
inform,west,inform
inform,center,inform
inform,the east part,inform
inform,any type,inform
request,phone number,request
no dialog,sil,no dialog
inform,moderate price range please,inform
hello,hello,hello
reqalts,how about chinese food,reqalts
inform,a chi ok lets look for chinese restaurant,inform
reqalts,how about vietnamese food,reqalts
request,address phone number,request
inform,i want vegetarian food,inform
reqalts,how about portuguese,reqalts
inform,im looking for an expensive restaurant in the east part of town,inform
thankyou,thank you goodbye,thankyou
reqalts,how about international food,reqalts
inform,any price range,inform
inform,sea food,inform
inform,chinese,inform
request,and the phone number,request
inform,expensive restaurant,inform
inform,caribbean food,inform
reqalts,how about vietnamese,reqalts
thankyou,thank you good bye,thankyou
inform,a restaurant in the south part of town serving italian food,inform
thankyou,thank you good bye,thankyou
inform,id like to find a moderately priced restaurant in the east part of town,inform
inform,chinese,inform
no dialog,the addre,no dialog
bye,k you goodbye,bye
request,address,request
thankyou,thank you good bye,thankyou
request,address,request
thankyou,thank you good bye,thankyou
request,phone number,request
thankyou,thank you good bye,thankyou
inform,doesnt matter,inform
inform,thai food,inform
request,what is the address and phone number,request
affirm,yes,affirm
inform,i want a restaurant in the north part of town,inform
inform,im looking for an indian restaurant in the north part of town,inform
thankyou,okay thank you,thankyou
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,north,inform
request,address,request
thankyou,thank you good bye,thankyou
inform,cheap restaurant,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
no dialog,unintelligible,no dialog
inform,im looking for something in the west side,inform
request,can i have the address of it,request
negate,no,negate
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
no dialog,noise,no dialog
no dialog,noise,no dialog
thankyou,thank you good bye,thankyou
inform,thai,inform
request,post code,request
thankyou,thank you good bye,thankyou
thankyou,thank you goodbye,thankyou
inform,looking for something with gastropub on the east side of town,inform
inform,british food,inform
inform,i dont care,inform
request,and what is their phone number,request
request,the post code,request
inform,in a moderate price range,inform
request,whats the phone number,request
inform,italian food,inform
request,address,request
request,address,request
thankyou,thank you goodbye,thankyou
inform,im looking for a cheap restaurant in the east part of town,inform
affirm,yes,affirm
request,what type of food is it,request
thankyou,thank you good bye,thankyou
inform,can i have a british restaurant in the east please,inform
inform,you know thai thai food,inform
inform,thai,inform
request,and the price range,request
thankyou,thank you goodbye,thankyou
inform,id like a restaurant in the center that serves mediterranean food,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,any price range,inform
inform,spanish,inform
inform,spanish food,inform
request,price range,request
inform,jamaican food,inform
inform,food type,inform
inform,east part of town,inform
inform,jamaican food,inform
inform,portuguese food,inform
inform,could i have the asian oriental restaurant,inform
inform,expensive,inform
request,phone number,request
request,what is the post code,request
no dialog,noise,no dialog
reqalts,is there anything else besides golden wok,reqalts
inform,im looking for a restaurant in the center that serves romanian food,inform
inform,romanian,inform
inform,moderately,inform
inform,south,inform
inform,moderately,inform
request,phone number,request
request,could i have their phone number as well,request
reqalts,anything else,reqalts
thankyou,thank you good bye,thankyou
inform,expensive restaurant,inform
inform,i want a restaurant in the center,inform
inform,is there mediterranean food,confirm
request,what is the address,request
inform,venetian,inform
inform,vegetarian,inform
request,phone,request
inform,im looking for a restaurant in the west part of town that should serve english food,inform
request,price range,request
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,it doesnt matter,inform
inform,i would like to find a restaurant in the north part of town,inform
inform,scandinavian food,inform
inform,italian,inform
request,whats the address,request
no dialog,noise,no dialog
inform,i dont care,inform
request,can i have the address and phone number,request
request,well whats the phone number,request
request,phone number,request
request,phone number,request
request,um whats the price range,request
request,address,request
inform,im looking for an expensive restaurant that serves belgium food,inform
reqalts,what about european food,reqalts
request,what is the area,request
inform,korean,inform
inform,north,inform
request,what is the phone number and address,request
request,and the phone number,request
request,address,request
inform,food,inform
inform,any,inform
request,what is the post code,request
request,address,request
reqalts,how about indian,reqalts
no dialog,um,no dialog
inform,north,inform
inform,mediterranean,inform
request,address and phone number,request
inform,north,inform
request,address,request
thankyou,thank you goodbye,thankyou
thankyou,thank you good bye,thankyou
inform,uh cheap restaurant in the north part of town,inform
request,address,request
inform,looking for something moderately priced on the north side of town,inform
reqalts,is there anything else,reqalts
affirm,ye,affirm
request,what is the area,request
request,what kind of food does it serve,request
confirm,does it serve sea food,confirm
thankyou,thank you good bye,thankyou
inform,moroccan food,inform
reqalts,okay how about indian food,reqalts
inform,japanese,inform
inform,cheap,inform
inform,west,inform
inform,moderate,inform
no dialog,sil,no dialog
request,what type of food,request
inform,i dont care bye,bye
thankyou,thank you good bye,thankyou
inform,um i would like to find an expensive restaurant in the south part of town,inform
inform,i want a cheap restaurant in the north part of town,inform
thankyou,thank you good bye,thankyou
inform,restaurant in the west part of town,inform
thankyou,thank you good bye,thankyou
inform,swiss food,inform
inform,romanian food,inform
reqalts,what about asian oriental food,reqalts
thankyou,thank you good bye,thankyou
inform,moderate price range,inform
request,what is the phone number,request
inform,dont care,inform
request,phone number,request
inform,restaurant in the west part of town,inform
inform,center,inform
inform,italian,inform
request,address,request
request,phone number,request
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant that serves austrian food,inform
request,can i have the address and postal code,request
inform,steak,inform
inform,any food that serves any restaurant thats expensive,inform
thankyou,thank you good bye,thankyou
request,address,request
request,um what is the address and phone number,request
thankyou,thank you good bye,thankyou
request,what is the address,request
inform,expensive french,inform
request,phone number,request
thankyou,thank you goodbye,thankyou
inform,cheap restaurant in the north,inform
request,type of food,request
no dialog,sil,no dialog
request,whats the address,request
request,phone number,request
request,whats the post code,request
request,price range,request
no dialog,sil,no dialog
inform,im looking for a moderately priced restaurant in the east part of town,inform
thankyou,thank you good bye,thankyou
inform,scandinavian food,inform
hello,serve hello food,inform
request,price range,request
request,phone number,request
request,phone number,request
bye,good bye,bye
inform,thai food,inform
inform,i dont give a damn about chinese food i want thai food,no dialog
inform,food from thailand,inform
inform,i dont give a fuck if hk fusion serves chinese food im looking for thai food,no dialog
inform,tuscan food,inform
inform,im looking for an expensive restaurant serving turkish food,inform
inform,mexican,inform
request,phone number,request
inform,moderate,inform
inform,moderate,inform
reqalts,how about moderate,reqalts
thankyou,thank you,thankyou
no dialog,um,no dialog
thankyou,thank you good bye,thankyou
reqalts,what about indian,reqalts
request,what is the phone number,request
inform,i need restaurant serves spanish food,inform
inform,id like to find a restaurant in any area serving mediterranean food,inform
inform,mediterranean food,inform
thankyou,thank you good bye,thankyou
inform,moderate,inform
request,phone number,request
request,whats the phone number,request
request,the phone number,request
thankyou,thank you good bye,thankyou
inform,expensive french food,inform
reqalts,anything else,reqalts
request,phone number,request
thankyou,thank you good bye,thankyou
bye,good bye,bye
request,address,request
request,address,request
no dialog,noise,no dialog
inform,french,inform
request,what is the address and phone number,request
thankyou,thank you good bye,thankyou
inform,and the food type,request
reqalts,is there anything else,reqalts
request,what is the phone number,request
affirm,yes,affirm
inform,restaurant in the east part of town international food,inform
no dialog,spice,no dialog
thankyou,thank you good bye,thankyou
reqalts,how about indian food,reqalts
inform,an expensive restaurant in the south part of town,inform
inform,doesnt matter,inform
request,how about the phone number,request
request,what is the address and phone number,request
thankyou,thank you good bye,thankyou
request,what type of food do they serve,request
request,whats the price range,request
inform,i dont care can i try again,no dialog
inform,id like a restaurant that serves thai food,inform
thankyou,thank you good bye,thankyou
inform,lebanese,inform
request,address,request
thankyou,thank you good bye,thankyou
request,what is the address,request
inform,north american type of food,inform
request,post code,request
inform,im looking for a restaurant in the center,inform
reqalts,what about belgian food,reqalts
request,what is the phone number,request
no dialog,noise,no dialog
request,whats the phone number,request
thankyou,thank you good bye,thankyou
inform,cantonese food,inform
request,can i have the post code,request
inform,id like a restaurant in the north part of town serving indian food,inform
request,what is the address phone number and price range,request
inform,expensive restaurant south part of town,inform
request,price,request
request,what is the address,request
inform,im looking for moderately priced restaurant in the east part of town,inform
request,phone number,request
no dialog,noise,no dialog
request,post code,request
inform,im looking for a restaurant in the north part of town that serves thai food,inform
confirm,is it in the north part of town,confirm
inform,how about in the west area,reqalts
no dialog,unintelligible,no dialog
request,what is the phone number,request
request,okay do you have the address for da vinci pizzeria,no dialog
thankyou,thank you good bye,thankyou
inform,south,inform
thankyou,thank you good bye,thankyou
request,what is the phone number,request
request,and what is the price range,request
inform,brazilian food,inform
request,area,request
request,location,request
request,what type of food do they serve,request
request,address,request
request,address,request
request,address,request
inform,i want to find a moderately priced restaurant in the south part of time,inform
inform,expensive,inform
inform,moderate priced restaurant that serves indian food,inform
inform,im looking for a moderate priced restaurant that serves indian food,inform
reqalts,is there anything else,reqalts
bye,see you goodbye,bye
inform,im looking for a korean restaurant,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,indian food,inform
no dialog,unintelligible,no dialog
request,address,request
no dialog,noise,no dialog
request,can i get the phone number and address,request
request,in the cheap price range,request
thankyou,thank you good bye,thankyou
inform,i dont care,inform
thankyou,thank you bye,thankyou
inform,thai,inform
confirm,does it serve thai food,confirm
request,what is the address and phone number,request
inform,french food,inform
inform,eritrean food in the east part of town,inform
request,and postcode,request
thankyou,thank you goodbye,thankyou
reqalts,what about italian,reqalts
request,can i get the phone number,request
inform,polynesian food,inform
thankyou,thank you good bye,thankyou
request,and where is it,request
confirm,is that in the north part of town,confirm
affirm,yes,affirm
reqalts,are there any other options,reqalts
request,what is the phone number,request
request,what area is it in,request
request,whats its phone number,request
inform,moderate,inform
request,address,request
inform,korean food in the north part of town,inform
inform,i want a restaurant in the north part of town,inform
inform,any,inform
inform,i dont care,inform
inform,asian,inform
thankyou,thank you good bye,thankyou
request,whats the address,request
request,phone number,request
inform,moroccan,inform
no dialog,noise,no dialog
no dialog,or,no dialog
request,what is the address,request
thankyou,thank you good bye,thankyou
no dialog,unintelligible,no dialog
inform,spanish food,inform
bye,unintelligible good bye,bye
affirm,uh yes im looking for a belgian restaurant in new york city,affirm
inform,turkish,inform
request,can i have the address and the post code please,request
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant,inform
inform,in the center part of town french food,inform
thankyou,thank you good bye,thankyou
reqalts,how about french food,reqalts
bye,good bye,bye
no dialog,sil,no dialog
inform,in the south part of town,inform
request,and whats the post code,request
request,whats their address,request
inform,portuguese food,inform
inform,im looking for a moderately priced restaurant in the east part of town,inform
inform,portuguese,inform
request,may i have the phone number,request
thankyou,thank you good bye,thankyou
request,phone number,request
request,post code,request
inform,any,inform
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant in the center of town,inform
inform,im looking for traditional food,inform
request,and the phone number,request
inform,center,inform
request,what is the type of food,request
thankyou,thank you goodbye,thankyou
inform,tuscan,inform
request,phone number,request
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
no dialog,sil,no dialog
reqalts,next,reqalts
inform,noise south part of town,inform
inform,south,inform
inform,european food,inform
thankyou,thank you good bye,thankyou
inform,any,inform
inform,thai,inform
inform,thai food,inform
inform,thai food,inform
request,address,request
inform,expensive,inform
inform,im looking for an expensive restaurant that serves venetian food,inform
request,whats the phone number,request
inform,west part of town cuban food,inform
no dialog,priced,inform
request,address,request
inform,im looking for african food,inform
request,whats the address and phone number,request
